DXYZ:0,DXYZ:1,DXYZ:2,velocity:0,velocity:1,velocity:2,dirBC,neuBC,Points:0,Points:1,Points:2
0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,1.0000000000e+00,0.0000000000e+00,5.0000000000e-01,0.0000000000e+00,4.9999998882e-03
0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,-6.1237627648e-04,1.0474004729e-04,0.0000000000e+00,4.9999977426e-01,0.0000000000e+00,5.0000000000e-01,3.7289715838e-03,4.9999998882e-03
0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,1.0000000000e+00,0.0000000000e+00,0.0000000000e+00,2.0000000000e+00,0.0000000000e+00,5.0000000000e-01,1.0000000000e+00,4.9999998882e-03
0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,9.7327746206e-01,1.0364385321e-04,0.0000000000e+00,1.0000004515e+00,0.0000000000e+00,5.0000000000e-01,9.9627107382e-01,4.9999998882e-03
0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,-1.1640970274e-03,2.4281838495e-04,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,5.0000000000e-01,7.4579399079e-03,4.9999998882e-03
0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,-1.9079278632e-03,3.7980994680e-04,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,5.0000000000e-01,1.2171181850e-02,4.9999998882e-03
0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,-2.5798900598e-03,5.6573036286e-04,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,5.0000000000e-01,1.6884420067e-02,4.9999998882e-03
0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,-3.4719439626e-03,7.4490309375e-04,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,5.0000000000e-01,2.2814853117e-02,4.9999998882e-03
0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,-4.2802715976e-03,9.9580058048e-04,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,5.0000000000e-01,2.8745280579e-02,4.9999998882e-03
0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,-5.3347510737e-03,1.2298770362e-03,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,5.0000000000e-01,3.6164920777e-02,4.9999998882e-03
0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,-6.2933726409e-03,1.5685108833e-03,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,5.0000000000e-01,4.3584551662e-02,4.9999998882e-03
0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,-7.5205311949e-03,1.8736415210e-03,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,5.0000000000e-01,5.2801575512e-02,4.9999998882e-03
0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,-8.6395926897e-03,2.3296443152e-03,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,5.0000000000e-01,6.2018588185e-02,4.9999998882e-03
0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,-1.0045166324e-02,2.7263264942e-03,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,5.0000000000e-01,7.3367796838e-02,4.9999998882e-03
0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,-1.1329805244e-02,3.3374827183e-03,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,5.0000000000e-01,8.4716998041e-02,4.9999998882e-03
0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,-1.2915655960e-02,3.8522674507e-03,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,5.0000000000e-01,9.8540753126e-02,4.9999998882e-03
0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,-1.4365365306e-02,4.6660410833e-03,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,5.0000000000e-01,1.1236450076e-01,4.9999998882e-03
0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,-1.6130486103e-02,5.3350998854e-03,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,5.0000000000e-01,1.2898141146e-01,4.9999998882e-03
0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,-1.7738195377e-02,6.4110623996e-03,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,5.0000000000e-01,1.4559830725e-01,4.9999998882e-03
0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,-1.9676281252e-02,7.2873707953e-03,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,5.0000000000e-01,1.6525846720e-01,4.9999998882e-03
0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,-2.1424065463e-02,8.7016081568e-03,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,5.0000000000e-01,1.8491859734e-01,4.9999998882e-03
0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,-2.3509056404e-02,9.8674471831e-03,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,5.0000000000e-01,2.0774775743e-01,4.9999998882e-03
0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,-2.5353955571e-02,1.1719246347e-02,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,5.0000000000e-01,2.3057690263e-01,4.9999998882e-03
0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,-2.7500141540e-02,1.3302464562e-02,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,5.0000000000e-01,2.5651624799e-01,4.9999998882e-03
0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,-2.9341460709e-02,1.5719393471e-02,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,5.0000000000e-01,2.8245559335e-01,4.9999998882e-03
0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,-3.1325121604e-02,1.7901289456e-02,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,5.0000000000e-01,3.1121146679e-01,4.9999998882e-03
0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,-3.2947790872e-02,2.1029143044e-02,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,5.0000000000e-01,3.3996731043e-01,4.9999998882e-03
0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,-3.4295031480e-02,2.4012629391e-02,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,5.0000000000e-01,3.7098756433e-01,4.9999998882e-03
0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,-3.5299511027e-02,2.7964712606e-02,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,5.0000000000e-01,4.0200778842e-01,4.9999998882e-03
