DXYZ:0,DXYZ:1,DXYZ:2,velocity:0,velocity:1,velocity:2,dirBC,neuBC,Points:0,Points:1,Points:2
0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,1.0000000000e+00,0.0000000000e+00,5.0000000745e-02,0.0000000000e+00,4.9999998882e-03
0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,-9.6056166171e-05,-1.5178223257e-04,0.0000000000e+00,6.5197810421e-01,0.0000000000e+00,5.0000000745e-02,2.5955263991e-03,4.9999998882e-03
0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,1.0000000000e+00,0.0000000000e+00,0.0000000000e+00,2.0000000000e+00,0.0000000000e+00,5.0000000745e-02,1.0000000000e+00,4.9999998882e-03
0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,6.5362274500e-01,1.3111586105e-02,0.0000000000e+00,6.9604379158e-01,0.0000000000e+00,5.0000000745e-02,9.9513763189e-01,4.9999998882e-03
0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,-3.3450281427e-04,-4.4148505210e-04,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,5.0000000745e-02,7.4579399079e-03,4.9999998882e-03
0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,-4.7702108680e-04,-6.3325865474e-04,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,5.0000000745e-02,1.0738561861e-02,4.9999998882e-03
0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,-7.0939944869e-04,-1.0104003442e-03,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,5.0000000745e-02,1.6884420067e-02,4.9999998882e-03
0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,-9.1660312411e-04,-1.2204606877e-03,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,5.0000000745e-02,2.1012259647e-02,4.9999998882e-03
0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,-1.1644600982e-03,-1.6408835524e-03,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,5.0000000745e-02,2.8745280579e-02,4.9999998882e-03
0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,-1.4720470700e-03,-1.8145617913e-03,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,5.0000000745e-02,3.3909671009e-02,4.9999998882e-03
0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,-1.7931234671e-03,-2.1973250967e-03,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,5.0000000745e-02,4.3584551662e-02,4.9999998882e-03
0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,-2.2506647213e-03,-2.2319059444e-03,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,5.0000000745e-02,5.0000000745e-02,4.9999998882e-03
0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,-2.7198724996e-03,-2.4225352144e-03,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,5.0000000745e-02,6.2018588185e-02,4.9999998882e-03
0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,-3.3675408996e-03,-2.1466408565e-03,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,5.0000000745e-02,6.9918133318e-02,4.9999998882e-03
0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,-4.0470755104e-03,-1.8823706596e-03,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,5.0000000745e-02,8.4716998041e-02,4.9999998882e-03
0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,-4.8758016057e-03,-1.0513816564e-03,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,5.0000000745e-02,9.4338931143e-02,4.9999998882e-03
0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,-5.7690194322e-03,6.4842737943e-05,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,5.0000000745e-02,1.1236450076e-01,4.9999998882e-03
0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,-6.6663023607e-03,1.7261425890e-03,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,5.0000000745e-02,1.2393059582e-01,4.9999998882e-03
0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,-7.6558414764e-03,4.1652421620e-03,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,5.0000000745e-02,1.4559830725e-01,4.9999998882e-03
0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,-8.3815715357e-03,6.8418228790e-03,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,5.0000000745e-02,1.5928262472e-01,4.9999998882e-03
0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,-9.1943209206e-03,1.0946575315e-02,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,5.0000000745e-02,1.8491859734e-01,4.9999998882e-03
0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,-9.4507643347e-03,1.4564245520e-02,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,5.0000000745e-02,2.0080868900e-01,4.9999998882e-03
0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,-9.7346251697e-03,2.0238173641e-02,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,5.0000000745e-02,2.3057690263e-01,4.9999998882e-03
0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,-9.3336830644e-03,2.4363865329e-02,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,5.0000000745e-02,2.4863182008e-01,4.9999998882e-03
0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,-8.8587528743e-03,3.0867047008e-02,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,5.0000000745e-02,2.8245559335e-01,4.9999998882e-03
0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,-7.8637728911e-03,3.4804410128e-02,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,5.0000000745e-02,3.0247092247e-01,4.9999998882e-03
0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,-6.7010175367e-03,4.0918497794e-02,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,5.0000000745e-02,3.3996731043e-01,4.9999998882e-03
0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,-5.4033246284e-03,4.3987191301e-02,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,5.0000000745e-02,3.6155876517e-01,4.9999998882e-03
0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,-3.8989568705e-03,4.8549179893e-02,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,5.0000000745e-02,4.0200778842e-01,4.9999998882e-03
0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,-2.6452055548e-03,5.0374471211e-02,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,5.0000000745e-02,4.2462468147e-01,4.9999998882e-03
0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,-1.2063833724e-03,5.2819239147e-02,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,5.0000000745e-02,4.6699479222e-01,4.9999998882e-03
0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,-2.3322436216e-04,5.3448817717e-02,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,5.0000000745e-02,4.8996785283e-01,4.9999998882e-03
0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,8.7382643946e-04,5.3976313642e-02,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,5.0000000745e-02,5.3300517797e-01,4.9999998882e-03
0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,1.4844952397e-03,5.3786965369e-02,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,5.0000000745e-02,5.5562210083e-01,4.9999998882e-03
0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,2.1813585809e-03,5.3119144197e-02,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,5.0000000745e-02,5.9799218178e-01,4.9999998882e-03
0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,2.4419970509e-03,5.2625078392e-02,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,5.0000000745e-02,6.1958366632e-01,4.9999998882e-03
0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,2.7584372317e-03,5.1632148339e-02,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,5.0000000745e-02,6.6003268957e-01,4.9999998882e-03
0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,2.6847275863e-03,5.1331774121e-02,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,5.0000000745e-02,6.8004798889e-01,4.9999998882e-03
0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,2.6472773120e-03,5.0802420058e-02,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,5.0000000745e-02,7.1754437685e-01,4.9999998882e-03
0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,2.1850280176e-03,5.1110283708e-02,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,5.0000000745e-02,7.3559933901e-01,4.9999998882e-03
0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,1.7267284850e-03,5.1725737998e-02,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,5.0000000745e-02,7.6942312717e-01,4.9999998882e-03
0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,7.2017089222e-04,5.2932448238e-02,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,5.0000000745e-02,7.8531318903e-01,4.9999998882e-03
